grid_id,lat,lon,land_cover,priority,LST,NDVI,recommended_action,cost_estimate,cooling_c,cooling_per_rupee
+102094+29066,26.11088120617822,91.7130497743174,cropland,Medium,27.61476398571363,0.4693490698115356,Tree cover,334425.0,0.8,2.39216565747178e-06
+102094+29070,26.114474467117063,91.7130497747004,built_up,High,29.49969054066948,0.3025406495588153,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29071,26.115372782436463,91.7130497744932,built_up,High,29.56708711592393,0.260385149105755,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29072,26.116271097501745,91.7130497742552,built_up,High,29.291931414958174,0.3309177915793886,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29073,26.11716941322104,91.71304977443806,built_up,High,29.25215879555441,0.3345650474185647,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29074,26.11806772838465,91.7130497745901,built_up,Medium,28.693604055239163,0.4249844556032685,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29078,26.12166098925172,91.71304977443904,built_up,Medium,27.789228954769897,0.4524658411343482,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29079,26.12255930502858,91.71304977443708,built_up,Medium,27.811309626161112,0.4974885557146875,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29086,26.128847511867445,91.71304977468932,built_up,Medium,27.201752259239147,0.4126265903415782,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29113,26.15310202457134,91.71304977452468,built_up,Medium,25.83421917581524,0.4430625688912597,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29122,26.16118686161236,91.71304977450424,built_up,Medium,25.83782295777175,0.4594151677314932,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29123,26.162085177197092,91.71304977449785,built_up,Medium,26.56694476441425,0.3613683086065573,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29124,26.16298349271931,91.71304977446025,built_up,Medium,27.63150842624479,0.4040499847966423,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29125,26.163881807692825,91.71304977461772,built_up,Medium,27.726758892826105,0.3629847454648556,Cool roof,535080.0,1.0,1.868879419899828e-06
+102094+29126,26.16478012297119,91.71304977451828,built_up,Medium,26.956225421935173,0.4942350392433441,Cool roof,535080.0,1.0,1.868879419899828e-06
+102095+29070,26.114474467194363,91.71394808978988,built_up,High,30.2797071152849,0.2641945341478768,Cool roof,535080.0,1.0,1.868879419899828e-06
+102095+29071,26.115372782306768,91.71394808993207,built_up,High,30.05052494916479,0.2414913879145175,Cool roof,535080.0,1.0,1.868879419899828e-06
+102095+29072,26.11627109752954,91.71394809004369,built_up,High,29.320132714853376,0.3456062052609711,Cool roof,535080.0,1.0,1.868879419899828e-06
