grid_id,lat,lon,priority,vegetation_class,LST,exclusion_reason
+102207+29164,26.198916103703784,91.814559401646,Low,vegetated,23.57785178889777,Low priority - no action needed (ML tiering)
+102207+29165,26.19981441898791,91.814559401646,Low,vegetated,23.35856460857196,Low priority - no action needed (ML tiering)
+102207+29166,26.200712734272027,91.814559401646,Low,vegetated,23.162978438990944,Low priority - no action needed (ML tiering)
+102207+29167,26.20161104955614,91.814559401646,Low,vegetated,23.208734752708505,Low priority - no action needed (ML tiering)
+102207+29168,26.20250936484027,91.814559401646,Low,vegetated,23.17590819760825,Low priority - no action needed (ML tiering)
+102207+29169,26.203407680124386,91.814559401646,Low,vegetated,22.815495651560767,Low priority - no action needed (ML tiering)
+102207+29170,26.2043059954085,91.814559401646,Low,vegetated,22.63649648701598,Low priority - no action needed (ML tiering)
+102207+29171,26.205204310692626,91.814559401646,Low,vegetated,22.82706846578564,Low priority - no action needed (ML tiering)
+102207+29172,26.206102625976747,91.814559401646,Low,vegetated,23.095724360408536,Low priority - no action needed (ML tiering)
+102208+29154,26.1899329508626,91.81545771693013,Low,vegetated,24.679923668305296,Low priority - no action needed (ML tiering)
+102208+29155,26.19083126614671,91.81545771693013,Low,vegetated,24.9828461224022,Low priority - no action needed (ML tiering)
+102208+29157,26.19262789671495,91.81545771693013,Low,vegetated,25.471708305951896,Low priority - no action needed (ML tiering)
+102208+29158,26.19352621199907,91.81545771693013,Low,vegetated,24.62803149734784,Low priority - no action needed (ML tiering)
+102208+29159,26.19442452728319,91.81545771693013,Low,vegetated,24.197531707353587,Low priority - no action needed (ML tiering)
+102208+29160,26.195322842567304,91.81545771693013,Low,vegetated,24.815849499330564,Low priority - no action needed (ML tiering)
+102208+29161,26.19622115785143,91.81545771693013,Low,vegetated,24.877694947706534,Low priority - no action needed (ML tiering)
+102208+29162,26.197119473135547,91.81545771693013,Low,vegetated,24.40979992604605,Low priority - no action needed (ML tiering)
+102208+29163,26.198017788419666,91.81545771693013,Low,vegetated,24.252634170292907,Low priority - no action needed (ML tiering)
+102208+29164,26.198916103703784,91.81545771693013,Low,vegetated,23.78326042386958,Low priority - no action needed (ML tiering)
+102208+29165,26.19981441898791,91.81545771693013,Low,vegetated,23.58240788106696,Low priority - no action needed (ML tiering)
+102208+29166,26.200712734272027,91.81545771693013,Low,vegetated,23.033027309759444,Low priority - no action needed (ML tiering)
+102208+29167,26.20161104955614,91.81545771693013,Low,vegetated,23.00922626502177,Low priority - no action needed (ML tiering)
+102208+29168,26.20250936484027,91.81545771693013,Low,vegetated,23.22122577917365,Low priority - no action needed (ML tiering)
+102208+29169,26.203407680124386,91.81545771693013,Low,vegetated,23.010071277248983,Low priority - no action needed (ML tiering)
+102208+29170,26.2043059954085,91.81545771693013,Low,vegetated,22.780832558684804,Low priority - no action needed (ML tiering)
