system:index,Heat_Risk,LST,LandCover,Latitude,Longitude,NDBI,NDVI,Vegetation,count,grid_id,.geo
+102202+29165,-0.7526350847864689,22.84248342076363,10.0,26.19981441895815,91.8100678256637,-0.26724401699471767,0.7556696148410138,1.0,1,+102202+29165,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.199365261345847],[91.81051698286745,26.199365261345847],[91.81051698286745,26.200263576629965],[91.80961866758334,26.200263576629965],[91.80961866758334,26.199365261345847]]]}"
+102202+29166,-0.7459278208492095,22.612411822792904,10.0,26.2007127346487,91.81006782567823,-0.2592166172649641,0.7325286653344171,1.0,1,+102202+29166,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.200263576629965],[91.81051698286745,26.200263576629965],[91.81051698286745,26.201161891914083],[91.80961866758334,26.201161891914083],[91.80961866758334,26.200263576629965]]]}"
+102202+29167,-0.5992808373727987,23.009214500097844,10.0,26.20161104952536,91.81006782545937,-0.19806297049322405,0.6142247302369302,1.0,1,+102202+29167,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.201161891914083],[91.81051698286745,26.201161891914083],[91.81051698286745,26.202060207198205],[91.80961866758334,26.202060207198205],[91.80961866758334,26.201161891914083]]]}"
+102202+29168,-0.5093778764215859,23.536227070052316,10.0,26.20250936480187,91.81006782523332,-0.1763623257515614,0.5619655242824658,1.0,1,+102202+29168,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.202060207198205],[91.81051698286745,26.202060207198205],[91.81051698286745,26.202958522482323],[91.80961866758334,26.202958522482323],[91.80961866758334,26.202060207198205]]]}"
+102202+29169,-0.6105204172340667,23.756108368159012,10.0,26.20340768076303,91.81006782522586,-0.2550708416235298,0.6788138721025675,1.0,1,+102202+29169,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.202958522482323],[91.81051698286745,26.202958522482323],[91.81051698286745,26.203856837766445],[91.80961866758334,26.203856837766445],[91.80961866758334,26.202958522482323]]]}"
+102202+29170,-0.46163955363729753,24.39195839172828,10.0,26.204305994994044,91.810067825211,-0.16481910447561585,0.5753508673321747,1.0,1,+102202+29170,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.203856837766445],[91.81051698286745,26.203856837766445],[91.81051698286745,26.204755153050563],[91.80961866758334,26.204755153050563],[91.80961866758334,26.203856837766445]]]}"
+102202+29171,-0.32609449931706286,24.45436289809625,10.0,26.205204310637978,91.81006782541492,-0.07547236761526607,0.4442632777525093,1.0,1,+102202+29171,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.204755153050563],[91.81051698286745,26.204755153050563],[91.81051698286745,26.20565346833468],[91.80961866758334,26.20565346833468],[91.80961866758334,26.204755153050563]]]}"
+102202+29172,-0.47955103282425604,24.03808312256984,10.0,26.206102626593438,91.81006782561168,-0.22021959668246668,0.5679855415792449,1.0,1,+102202+29172,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.20565346833468],[91.81051698286745,26.20565346833468],[91.81051698286745,26.206551783618803],[91.80961866758334,26.206551783618803],[91.80961866758334,26.20565346833468]]]}"
+102203+29145,0.24872423556907858,28.843625042915512,50.0,26.181848113396853,91.81096614065791,0.12313181201858364,0.18296326749631547,0.048354837444605676,1,+102203+29145,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.181398955663454],[91.81141529815157,26.181398955663454],[91.81141529815157,26.182297270947576],[91.81051698286745,26.182297270947576],[91.81051698286745,26.181398955663454]]]}"
+102203+29146,0.01361903599377094,27.68289442855332,50.0,26.182746428799597,91.81096614050591,0.044143056671854024,0.3351591374743227,0.2697752853053061,1,+102203+29146,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.182297270947576],[91.81141529815157,26.182297270947576],[91.81141529815157,26.183195586231694],[91.81051698286745,26.183195586231694],[91.81051698286745,26.182297270947576]]]}"
