system:index,Heat_Risk,LST,NDVI,count,grid_id,.geo
+102147+29131,0.23499428765317593,27.87966418869473,0.12783886868216116,1,+102147+29131,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.16882254168578],[91.76110964224088,26.16882254168578],[91.76110964224088,26.169720856969903],[91.76021132695676,26.169720856969903],[91.76021132695676,26.16882254168578]]]}"
+102147+29132,0.2976445622668776,28.29677167898396,0.09498198623197653,1,+102147+29132,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.169720856969903],[91.76110964224088,26.169720856969903],[91.76110964224088,26.17061917225402],[91.76021132695676,26.17061917225402],[91.76021132695676,26.169720856969903]]]}"
+102147+29133,0.26442637412167774,28.41016723740224,0.13629985712134024,1,+102147+29133,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.17061917225402],[91.76110964224088,26.17061917225402],[91.76110964224088,26.17151748753814],[91.76021132695676,26.17151748753814],[91.76021132695676,26.17061917225402]]]}"
+102147+29134,0.3112304154640913,28.345185375997122,0.08485425424998815,1,+102147+29134,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.17151748753814],[91.76110964224088,26.17151748753814],[91.76110964224088,26.17241580282226],[91.76021132695676,26.17241580282226],[91.76021132695676,26.17151748753814]]]}"
+102147+29135,0.3162111954853471,28.242836421351264,0.0725628346111717,1,+102147+29135,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.17241580282226],[91.76110964224088,26.17241580282226],[91.76110964224088,26.17331411810638],[91.76021132695676,26.17331411810638],[91.76021132695676,26.17241580282226]]]}"
+102147+29136,0.2768065858324444,28.185871012608253,0.10789848649671692,1,+102147+29136,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.17331411810638],[91.76110964224088,26.17331411810638],[91.76110964224088,26.174212433390498],[91.76021132695676,26.174212433390498],[91.76021132695676,26.17331411810638]]]}"
+102147+29137,0.24573657996741172,28.10783313473897,0.13339435822822848,1,+102147+29137,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.174212433390498],[91.76110964224088,26.174212433390498],[91.76110964224088,26.17511074867462],[91.76021132695676,26.17511074867462],[91.76021132695676,26.174212433390498]]]}"
+102147+29138,0.14778475204529795,27.611970655918324,0.19592743766315365,1,+102147+29138,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.17511074867462],[91.76110964224088,26.17511074867462],[91.76110964224088,26.176009063958737],[91.76021132695676,26.176009063958737],[91.76021132695676,26.17511074867462]]]}"
+102147+29139,0.1652834638793155,27.37433949869764,0.16145507174194473,1,+102147+29139,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.176009063958737],[91.76110964224088,26.176009063958737],[91.76110964224088,26.17690737924286],[91.76021132695676,26.17690737924286],[91.76021132695676,26.176009063958737]]]}"
+102147+29140,0.09934387492144489,26.800612748981173,0.18641417857721002,1,+102147+29140,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.17690737924286],[91.76110964224088,26.17690737924286],[91.76110964224088,26.177805694526977],[91.76021132695676,26.177805694526977],[91.76021132695676,26.17690737924286]]]}"
